"category_id","category_name","value_id","value_name","value_description","type","value"
10,"Frog vocalizing",20,"Single calls","There is space between calls and individuals can be counted.","qualitative",1
10,"Frog vocalizing",21,"Overlapping calls","Calls of individuals can be distinguished but there is some overlapping of calls.","qualitative",2
10,"Frog vocalizing",22,"Full chorus","Calls are constant and overlapping.","qualitative",3
11,"Breaking leaf buds",32,"Less than 3","","number",1
11,"Breaking leaf buds",33,"3 to 10","","number",5
11,"Breaking leaf buds",34,"More than 10","","number",11
12,"Leaf canopy fullness",25,"Less than 5%","","percent",2
12,"Leaf canopy fullness",26,"5-24%","","percent",14
12,"Leaf canopy fullness",27,"25-49%","","percent",37
12,"Leaf canopy fullness",28,"50-74%","","percent",62
12,"Leaf canopy fullness",29,"75-94%","","percent",84
12,"Leaf canopy fullness",30,"95% or more","","percent",95
13,"Leaf size",27,"25-49%","","percent",37
13,"Leaf size",28,"50-74%","","percent",62
13,"Leaf size",29,"75-94%","","percent",84
13,"Leaf size",30,"95% or more","","percent",95
13,"Leaf size",31,"Less than 25%","","percent",96
14,"Colored leaf proportion",25,"Less than 5%","","percent",2
14,"Colored leaf proportion",26,"5-24%","","percent",14
14,"Colored leaf proportion",27,"25-49%","","percent",37
14,"Colored leaf proportion",28,"50-74%","","percent",62
14,"Colored leaf proportion",29,"75-94%","","percent",84
14,"Colored leaf proportion",30,"95% or more","","percent",95
15,"Young leaves present",32,"Less than 3","","number",1
15,"Young leaves present",33,"3 to 10","","number",5
15,"Young leaves present",34,"More than 10","","number",11
16,"Young needles present",32,"Less than 3","","number",1
16,"Young needles present",33,"3 to 10","","number",5
16,"Young needles present",34,"More than 10","","number",11
17,"Emerging needles",32,"Less than 3","","number",1
17,"Emerging needles",33,"3 to 10","","number",5
17,"Emerging needles",34,"More than 10","","number",11
18,"Young needle bundles present",32,"Less than 3","","number",1
18,"Young needle bundles present",33,"3 to 10","","number",5
18,"Young needle bundles present",34,"More than 10","","number",11
19,"Needle canopy fullness",25,"Less than 5%","","percent",2
19,"Needle canopy fullness",26,"5-24%","","percent",14
19,"Needle canopy fullness",27,"25-49%","","percent",37
19,"Needle canopy fullness",28,"50-74%","","percent",62
19,"Needle canopy fullness",29,"75-94%","","percent",84
19,"Needle canopy fullness",30,"95% or more","","percent",95
20,"Colored needle proportion",25,"Less than 5%","","percent",2
20,"Colored needle proportion",26,"5-24%","","percent",14
20,"Colored needle proportion",27,"25-49%","","percent",37
20,"Colored needle proportion",28,"50-74%","","percent",62
20,"Colored needle proportion",29,"75-94%","","percent",84
20,"Colored needle proportion",30,"95% or more","","percent",95
21,"Initial growth of buds or shoots",32,"Less than 3","","number",1
21,"Initial growth of buds or shoots",33,"3 to 10","","number",5
21,"Initial growth of buds or shoots",34,"More than 10","","number",11
22,"Initial growth of shoots",32,"Less than 3","","number",1
22,"Initial growth of shoots",33,"3 to 10","","number",5
